Nonhuman_gene_name,Human_gene_name,Organism
Tgds,TGDS,Mouse
Thra,THRA,Mouse
Ten1,TEN1,Mouse
Tmem143,TMEM143,Mouse
Tgm5,TGM5,Mouse
Tjp2,TJP2,Mouse
Tdrd7,TDRD7,Mouse
Tctex1d4,TCTEX1D4,Mouse
Tgm7,TGM7,Mouse
Tecr,TECR,Mouse
Tm2d2,TM2D2,Mouse
Tln1,TLN1,Mouse
Tktl2,TKTL2,Mouse
Tma16,TMA16,Mouse
Tbx2,TBX2,Mouse
Tfap2c,TFAP2C,Mouse
Tbxa2r,TBXA2R,Mouse
Thap1,THAP1,Mouse
Tmem150b,TMEM150B,Mouse
Timm22,TIMM22,Mouse
Tex12,TEX12,Mouse
Thoc7,THOC7,Mouse
Tmem101,TMEM101,Mouse
Tinag,TINAG,Mouse
Tm4sf5,TM4SF5,Mouse
Tigd4,TIGD4,Mouse
Tgm3,TGM3,Mouse
Tma7,TMA7,Mouse
Tlr9,TLR9,Mouse
Timm50,TIMM50,Mouse
Tlr2,TLR2,Mouse
Tigar,TIGAR,Mouse
Thap7,THAP7,Mouse
Timm21,TIMM21,Mouse
Tgm6,TGM6,Mouse
Tceanc2,TCEANC2,Mouse
Tdgf1,TDGF1,Mouse
Thsd1,THSD1,Mouse
Tcof1,TCOF1,Mouse
Tiam2,TIAM2,Mouse
Thbs1,THBS1,Mouse
Tjp3,TJP3,Mouse
Tfb1m,TFB1M,Mouse
Tekt3,TEKT3,Mouse
Tc2n,TC2N,Mouse
Ticrr,TICRR,Mouse
Tbx4,TBX4,Mouse
Tigit,TIGIT,Mouse
Tmem14a,TMEM14A,Mouse
Tmc7,TMC7,Mouse
Them6,THEM6,Mouse
Tmem108,TMEM108,Mouse
Tert,TERT,Mouse
Tfam,TFAM,Mouse
Tcf4,TCF4,Mouse
Tmem102,TMEM102,Mouse
Timp3,TIMP3,Mouse
Ticam1,TICAM1,Mouse
Thop1,THOP1,Mouse
Thegl,THEGL,Mouse
Thtpa,THTPA,Mouse
Tex264,TEX264,Mouse
Timm29,TIMM29,Mouse
Tm9sf4,TM9SF4,Mouse
Tgs1,TGS1,Mouse
BC005561,THOC2,Mouse
Thoc2,THOC2,Mouse
Themis,THEMIS,Mouse
Tmc2,TMC2,Mouse
Tfdp2,TFDP2,Mouse
Tmem117,TMEM117,Mouse
Tll1,TLL1,Mouse
Tcf15,TCF15,Mouse
Tlr4,TLR4,Mouse
Thoc3,THOC3,Mouse
Tmem131,TMEM131,Mouse
Tifab,TIFAB,Mouse
Timm17b,TIMM17B,Mouse
Tmem114,TMEM114,Mouse
Thap12,THAP12,Mouse
Tgm2,TGM2,Mouse
Tet1,TET1,Mouse
Tjap1,TJAP1,Mouse
Telo2,TELO2,Mouse
Tlx3,TLX3,Mouse
Thada,THADA,Mouse
Tcf24,TCF24,Mouse
Tmem123,TMEM123,Mouse
Tle6,TLE6,Mouse
Tmed4,TMED4,Mouse
Tmed5,TMED5,Mouse
Tlcd2,TLCD2,Mouse
Tenm1,TENM1,Mouse
Tmem129,TMEM129,Mouse
Tespa1,TESPA1,Mouse
Tmc5,TMC5,Mouse
Tle2,TLE2,Mouse
Tbx18,TBX18,Mouse
Tdrkh,TDRKH,Mouse
Tfr2,TFR2,Mouse
Tlcd1,TLCD1,Mouse
Tcf7l1,TCF7L1,Mouse
Tmco3,TMCO3,Mouse
Tex11,TEX11,Mouse
Tex9,TEX9,Mouse
Tecpr1,TECPR1,Mouse
Tfdp1,TFDP1,Mouse
Tmem140,TMEM140,Mouse
Tfcp2,TFCP2,Mouse
Tectb,TECTB,Mouse
Tm7sf3,TM7SF3,Mouse
Tmem106a,TMEM106A,Mouse
Tfb2m,TFB2M,Mouse
Tm6sf2,TM6SF2,Mouse
Tmem107,TMEM107,Mouse
Tead2,TEAD2,Mouse
Tmem121,TMEM121,Mouse
Tmed3,TMED3,Mouse
Thnsl2,THNSL2,Mouse
Tdrd3,TDRD3,Mouse
Thnsl1,THNSL1,Mouse
Zfp957,TCF20,Mouse
Tcf20,TCF20,Mouse
Tkt,TKT,Mouse
Tmem130,TMEM130,Mouse
Tcf12,TCF12,Mouse
Tctn1,TCTN1,Mouse
Tdrp,TDRP,Mouse
Tex37,TEX37,Mouse
Tep1,TEP1,Mouse
Them5,THEM5,Mouse
Them4,THEM4,Mouse
Tesk2,TESK2,Mouse
Tfrc,TFRC,Mouse
Timm44,TIMM44,Mouse
Tmem141,TMEM141,Mouse
Tef,TEF,Mouse
Tcea3,TCEA3,Mouse
Tlx1,TLX1,Mouse
Tgfbr3,TGFBR3,Mouse
Tekt1,TEKT1,Mouse
Timmdc1,TIMMDC1,Mouse
Tchhl1,TCHHL1,Mouse
Tchh,TCHH,Mouse
Tmed9,TMED9,Mouse
Tbx15,TBX15,Mouse
Tdo2,TDO2,Mouse
Thy1,THY1,Mouse
Tjp1,TJP1,Mouse
Tfec,TFEC,Mouse
Tcaf2,TCAF2,Mouse
Gm4985,TES,Mouse
Tes,TES,Mouse
Gm4907,TES,Mouse
Timd4,TIMD4,Mouse
Tex36,TEX36,Mouse
Tcp1,TCP1,Mouse
Terf2,TERF2,Mouse
Thrb,THRB,Mouse
Thsd4,THSD4,Mouse
Tcaf1,TCAF1,Mouse
Tmed6,TMED6,Mouse
Tm2d1,TM2D1,Mouse
Tex33,TEX33,Mouse
Thumpd3,THUMPD3,Mouse
Thyn1,THYN1,Mouse
Tmbim6,TMBIM6,Mouse
Tlr1,TLR1,Mouse
Tlr6,TLR6,Mouse
Timp4,TIMP4,Mouse
Terf2ip,TERF2IP,Mouse
Tfpi2,TFPI2,Mouse
Tfe3,TFE3,Mouse
Thumpd1,THUMPD1,Mouse
Tcf7l2,TCF7L2,Mouse
Tle3,TLE3,Mouse
Tceal3,TCEAL6,Mouse
Tceal6,TCEAL6,Mouse
Tmem132a,TMEM132A,Mouse
Tfap2e,TFAP2E,Mouse
Tk2,TK2,Mouse
Tmem109,TMEM109,Mouse
Timp2,TIMP2,Mouse
Tgif1,TGIF1,Mouse
Tfg,TFG,Mouse
Tmc1,TMC1,Mouse
Tm2d3,TM2D3,Mouse
Tcp11x2,TCP11X2,Mouse
Tcf21,TCF21,Mouse
Tcea2,TCEA2,Mouse
Tfcp2l1,TFCP2L1,Mouse
Tff3,TFF3,Mouse
Tctn3,TCTN3,Mouse
Tekt4,TEKT4,Mouse
Tg,TG,Mouse
Tff2,TFF2,Mouse
Thsd7b,THSD7B,Mouse
Tmem116,TMEM116,Mouse
Tff1,TFF1,Mouse
Tfap2a,TFAP2A,Mouse
Tcaim,TCAIM,Mouse
Tfpt,TFPT,Mouse
Tmem139,TMEM139,Mouse
Tigd5,TIGD5,Mouse
Tigd2,TIGD2,Mouse
Thap11,THAP11,Mouse
Tgfbr1,TGFBR1,Mouse
Thbs4,THBS4,Mouse
Tmem136,TMEM136,Mouse
Tead3,TEAD3,Mouse
Tcf23,TCF23,Mouse
Tmem125,TMEM125,Mouse
Th,TH,Mouse
Tceal8,TCEAL8,Mouse
Tmed7,TMED7,Mouse
Tia1,TIA1,Mouse
Tcerg1l,TCERG1L,Mouse
Tmc4,TMC4,Mouse
Timm17a,TIMM17A,Mouse
Tmem11,TMEM11,Mouse
Tifa,TIFA,Mouse
Tex15,TEX15,Mouse
Tmem144,TMEM144,Mouse
Tm4sf1,TM4SF1,Mouse
Tbxas1,TBXAS1,Mouse
Tdp1,TDP1,Mouse
Timm9,TIMM9,Mouse
Tmem145,TMEM145,Mouse
Tm4sf4,TM4SF4,Mouse
Gm49378,TM9SF1,Mouse
Tm9sf1,TM9SF1,Mouse
Tet3,TET3,Mouse
Tmed1,TMED1,Mouse
Tfip11,TFIP11,Mouse
Tm4sf19,TM4SF19,Mouse
Tctex1d2,TCTEX1D2,Mouse
Tecta,TECTA,Mouse
Tex10,TEX10,Mouse
Tcea1,TCEA1,Mouse
Tenm3,TENM3,Mouse
Tbx21,TBX21,Mouse
Tmem132e,TMEM132E,Mouse
Tie1,TIE1,Mouse
Tle4,TLE4,Mouse
Tgfa,TGFA,Mouse
Tll2,TLL2,Mouse
Thbs2,THBS2,Mouse
Tmem120a,TMEM120A,Mouse
Tmem150a,TMEM150A,Mouse
Tet2,TET2,Mouse
Tmeff1,TMEFF1,Mouse
Thsd7a,THSD7A,Mouse
Tekt2,TEKT2,Mouse
Tceal3,TCEAL5,Mouse
Tceal6,TCEAL5,Mouse
Tln2,TLN2,Mouse
Tex30,TEX30,Mouse
Tcn2,TCN2,Mouse
Tceal7,TCEAL7,Mouse
Tceal9,TCEAL9,Mouse
Tmem106b,TMEM106B,Mouse
Tirap,TIRAP,Mouse
Tdrd9,TDRD9,Mouse
Tceal1,TCEAL1,Mouse
Tceal3,TCEAL3,Mouse
Tceal6,TCEAL3,Mouse
Tmem126b,TMEM126B,Mouse
Tek,TEK,Mouse
Gm45799,TIMM10B,Mouse
Timm10b,TIMM10B,Mouse
Tex22,TEX22,Mouse
Tktl1,TKTL1,Mouse
Tmem126a,TMEM126A,Mouse
Tcte1,TCTE1,Mouse
Tex28,TEX28,Mouse
Tcf25,TCF25,Mouse
Thg1l,THG1L,Mouse
Tmem106c,TMEM106C,Mouse
Tcirg1,TCIRG1,Mouse
Tfap4,TFAP4,Mouse
Tbrg4,TBRG4,Mouse
Gm3417,TCTE3,Mouse
Gm3448,TCTE3,Mouse
Tcte3,TCTE3,Mouse
Tm9sf3,TM9SF3,Mouse
Timm13,TIMM13,Mouse
Timeless,TIMELESS,Mouse
Tle1,TLE1,Mouse
Tgm4,TGM4,Mouse
Tmc3,TMC3,Mouse
Tmbim4,TMBIM4,Mouse
Tcp11,TCP11,Mouse
Tm9sf2,TM9SF2,Mouse
Thrap3,THRAP3,Mouse
Tgfbr3l,TGFBR3L,Mouse
Tlr3,TLR3,Mouse
Tctex1d1,TCTEX1D1,Mouse
Tbx5,TBX5,Mouse
Thbs3,THBS3,Mouse
Tgif2,TGIF2,Mouse
Tbx20,TBX20,Mouse
Tex261,TEX261,Mouse
Tmed8,TMED8,Mouse
Tbx3,TBX3,Mouse
Tdg,TDG,Mouse
Tecpr2,TECPR2,Mouse
Thbd,THBD,Mouse
Tex35,TEX35,Mouse
Tmcc3,TMCC3,Mouse
Tgfb2,TGFB2,Mouse
Tmem135,TMEM135,Mouse
Tmcc2,TMCC2,Mouse
Tmco1,TMCO1,Mouse
Tesc,TESC,Mouse
Tmeff2,TMEFF2,Mouse
Tmem127,TMEM127,Mouse
Tiparp,TIPARP,Mouse
Tgfb1i1,TGFB1I1,Mouse
Tmem132b,TMEM132B,Mouse
Tinf2,TINF2,Mouse
Tmbim1,TMBIM1,Mouse
Thoc5,THOC5,Mouse
Tefm,TEFM,Mouse
Tcp11l1,TCP11L1,Mouse
Tgfbi,TGFBI,Mouse
Tdp2,TDP2,Mouse
Tgfbr2,TGFBR2,Mouse
Tmem14c,TMEM14C,Mouse
Tmc8,TMC8,Mouse
Tmc6,TMC6,Mouse
Thoc6,THOC6,Mouse
Tmem147,TMEM147,Mouse
Thrsp,THRSP,Mouse
Theg,THEG,Mouse
Tmed10,TMED10,Mouse
Terf1,TERF1,Mouse
Tlk2,TLK2,Mouse
Tcf7,TCF7,Mouse
Tex14,TEX14,Mouse
Tekt5,TEKT5,Mouse
Tepp,TEPP,Mouse
Tmem119,TMEM119,Mouse
Tbx22,TBX22,Mouse
Tlk1,TLK1,Mouse
Tmem128,TMEM128,Mouse
Tiprl,TIPRL,Mouse
Tgfbrap1,TGFBRAP1,Mouse
Tex13a,TEX13B,Mouse
Tex13b,TEX13B,Mouse
Tdrd5,TDRD5,Mouse
Tlx2,TLX2,Mouse
Tmem132c,TMEM132C,Mouse
Tmem132d,TMEM132D,Mouse
Tcp11l2,TCP11L2,Mouse
Tgm1,TGM1,Mouse
Tex44,TEX44,Mouse
Tec,TEC,Mouse
Thpo,THPO,Mouse
Tmem104,TMEM104,Mouse
Tfeb,TFEB,Mouse
Tlr5,TLR5,Mouse
Tmigd3,TMIGD3,Mouse
Tnfaip3,TNFAIP3,Mouse
Tmtc2,TMTC2,Mouse
Tnfsf18,TNFSF18,Mouse
Tnfsf4,TNFSF4,Mouse
Tmem79,TMEM79,Mouse
Tomm40l,TOMM40L,Mouse
Tmem198,TMEM198,Mouse
Tpr,TPR,Mouse
Traf3ip3,TRAF3IP3,Mouse
Tpi1,TPI1,Mouse
Tmtc3,TMTC3,Mouse
Tmem219,TMEM219,Mouse
Traf5,TRAF5,Mouse
Tmem19,TMEM19,Mouse
Tmprss13,TMPRSS13,Mouse
Tmem206,TMEM206,Mouse
Tph2,TPH2,Mouse
Tmprss4,TMPRSS4,Mouse
Tonsl,TONSL,Mouse
Tom1l1,TOM1L1,Mouse
Tmem251,TMEM251,Mouse
Tmem33,TMEM33,Mouse
Tmem25,TMEM25,Mouse
Tnk2,TNK2,Mouse
Tomm6,TOMM6,Mouse
Tmem263,TMEM263,Mouse
Tmem158,TMEM158,Mouse
Tpgs1,TPGS1,Mouse
Tnp2,TNP2,Mouse
Tnfsf9,TNFSF9,Mouse
Tmem53,TMEM53,Mouse
Tom1,TOM1,Mouse
Tmem175,TMEM175,Mouse
Tmem160,TMEM160,Mouse
Tnfsf14,TNFSF14,Mouse
Topors,TOPORS,Mouse
Tpmt,TPMT,Mouse
Tnfaip8l3,TNFAIP8L3,Mouse
Tmem191c,TMEM191C,Mouse
Tmem266,TMEM266,Mouse
Tnfsf13b,TNFSF13B,Mouse
Tmem234,TMEM234,Mouse
Tmem30b,TMEM30B,Mouse
Tmem239,TMEM239,Mouse
Tmem89,TMEM89,Mouse
Tpsb2,TPSB2,Mouse
Tpsab1,TPSB2,Mouse
Tpsg1,TPSG1,Mouse
Tnni2,TNNI2,Mouse
Tpbgl,TPBGL,Mouse
Tmem215,TMEM215,Mouse
Tmem165,TMEM165,Mouse
Tom1l2,TOM1L2,Mouse
Tnfrsf1a,TNFRSF1A,Mouse
Tmem62,TMEM62,Mouse
Tmem26,TMEM26,Mouse
Tppp,TPPP,Mouse
Tmem245,TMEM245,Mouse
Tomm7,TOMM7,Mouse
Tpm2,TPM2,Mouse
Tmem159,TMEM159,Mouse
Tpd52,TPD52,Mouse
Tnnc2,TNNC2,Mouse
Tnrc6a,TNRC6A,Mouse
Tmem252,TMEM252,Mouse
Tmem86b,TMEM86B,Mouse
Tmem221,TMEM221,Mouse
Tmem260,TMEM260,Mouse
Top3a,TOP3A,Mouse
Tpsb2,TPSAB1,Mouse
Tpsab1,TPSAB1,Mouse
Tmem170b,TMEM170B,Mouse
Tomm22,TOMM22,Mouse
Tox4,TOX4,Mouse
Top3b,TOP3B,Mouse
Tmem217,TMEM217,Mouse
Tnpo2,TNPO2,Mouse
Tmx2,TMX2,Mouse
Tmem235,TMEM235,Mouse
Tpcn2,TPCN2,Mouse
Tnfrsf21,TNFRSF21,Mouse
Tmod1,TMOD1,Mouse
Tmem9b,TMEM9B,Mouse
Tmem88,TMEM88,Mouse
Tnfrsf17,TNFRSF17,Mouse
Tnip3,TNIP3,Mouse
Tmprss11f,TMPRSS11F,Mouse
Tmprss11a,TMPRSS11A,Mouse
Tnrc6b,TNRC6B,Mouse
Tmprss11d,TMPRSS11D,Mouse
Tmem267,TMEM267,Mouse
Tpx2,TPX2,Mouse
Traf1,TRAF1,Mouse
Tmem59,TMEM59,Mouse
Tmem154,TMEM154,Mouse
Tnfaip8l1,TNFAIP8L1,Mouse
Tox2,TOX2,Mouse
Tmigd1,TMIGD1,Mouse
Tmem52,TMEM52,Mouse
Tmem82,TMEM82,Mouse
Tnfsf15,TNFSF15,Mouse
Tnfsf8,TNFSF8,Mouse
Tnc,TNC,Mouse
Tor1b,TOR1B,Mouse
Tor1a,TOR1A,Mouse
Tnip2,TNIP2,Mouse
Tmod2,TMOD2,Mouse
Tmem50b,TMEM50B,Mouse
Tmem161a,TMEM161A,Mouse
Tmem220,TMEM220,Mouse
Tmem95,TMEM95,Mouse
Trabd,TRABD,Mouse
Tmem190,TMEM190,Mouse
Tmem238,TMEM238,Mouse
Tnxb,TNXB,Mouse
Tmem256,TMEM256,Mouse
Tnk1,TNK1,Mouse
Tmem40,TMEM40,Mouse
Tnrc18,TNRC18,Mouse
Tmem192,TMEM192,Mouse
Tmf1,TMF1,Mouse
Tmem59l,TMEM59L,Mouse
Tmem211,TMEM211,Mouse
Tmppe,TMPPE,Mouse
Tra2a,TRA2A,Mouse
Tnnt3,TNNT3,Mouse
Tmod3,TMOD3,Mouse
Tmem8b,TMEM8B,Mouse
Tnfrsf14,TNFRSF14,Mouse
Tpp1,TPP1,Mouse
Tmem236,TMEM236,Mouse
Tmem70,TMEM70,Mouse
Tnfrsf9,TNFRSF9,Mouse
Tmprss11e,TMPRSS11E,Mouse
Tmem207,TMEM207,Mouse
Tmprss12,TMPRSS12,Mouse
Tmem200b,TMEM200B,Mouse
Tmem87a,TMEM87A,Mouse
Tmem68,TMEM68,Mouse
Tnfaip8,TNFAIP8,Mouse
Tmem216,TMEM216,Mouse
Tmem203,TMEM203,Mouse
Tprn,TPRN,Mouse
Tmub2,TMUB2,Mouse
Tmem230,TMEM230,Mouse
Tmem184a,TMEM184A,Mouse
Gm26938,TMEM184A,Mouse
Topbp1,TOPBP1,Mouse
Tnf,TNF,Mouse
Traf2,TRAF2,Mouse
Traip,TRAIP,Mouse
Tmprss2,TMPRSS2,Mouse
Tmem41b,TMEM41B,Mouse
Tmem204,TMEM204,Mouse
Tnmd,TNMD,Mouse
Tor4a,TOR4A,Mouse
Tmtc1,TMTC1,Mouse
Tmem209,TMEM209,Mouse
Tmem214,TMEM214,Mouse
Tnfrsf19,TNFRSF19,Mouse
Tmsb10,TMSB10,Mouse
Tmem179,TMEM179,Mouse
Tmem44,TMEM44,Mouse
Top2a,TOP2A,Mouse
Tmem163,TMEM163,Mouse
Tpst1,TPST1,Mouse
Tmprss5,TMPRSS5,Mouse
Tmie,TMIE,Mouse
Tmem232,TMEM232,Mouse
Tmem168,TMEM168,Mouse
Tns4,TNS4,Mouse
Tmem255b,TMEM255B,Mouse
Tppp3,TPPP3,Mouse
Tmem200a,TMEM200A,Mouse
Top1mt,TOP1MT,Mouse
Traf4,TRAF4,Mouse
Tmem45b,TMEM45B,Mouse
Tmem225,TMEM225,Mouse
Tpd52l2,TPD52L2,Mouse
Tox3,TOX3,Mouse
Tmem39a,TMEM39A,Mouse
Tmem37,TMEM37,Mouse
Toe1,TOE1,Mouse
Tmx4,TMX4,Mouse
Tmem167b,TMEM167B,Mouse
Tob2,TOB2,Mouse
Tmem92,TMEM92,Mouse
Tmem177,TMEM177,Mouse
Tmem248,TMEM248,Mouse
Tmem242,TMEM242,Mouse
Tmem52b,TMEM52B,Mouse
Tmem231,TMEM231,Mouse
Tmem258,TMEM258,Mouse
Tmem71,TMEM71,Mouse
Tmem30a,TMEM30A,Mouse
Tmem86a,TMEM86A,Mouse
Tnik,TNIK,Mouse
Tmem91,TMEM91,Mouse
Tmem185b,TMEM185B,Mouse
Top2b,TOP2B,Mouse
Tmem201,TMEM201,Mouse
Tmem63b,TMEM63B,Mouse
Tmem98,TMEM98,Mouse
Tmem60,TMEM60,Mouse
Tmem269,TMEM269,Mouse
Traf3ip2,TRAF3IP2,Mouse
Tpk1,TPK1,Mouse
Tmprss15,TMPRSS15,Mouse
Tmtc4,TMTC4,Mouse
Tmem45a,TMEM45A,Mouse
Tmem45a2,TMEM45A,Mouse
Tmem156,TMEM156,Mouse
Tmem54,TMEM54,Mouse
Tmem247,TMEM247,Mouse
Tmprss6,TMPRSS6,Mouse
Tmem64,TMEM64,Mouse
Traf6,TRAF6,Mouse
Tmem9,TMEM9,Mouse
Tmem56,TMEM56,Mouse
Tnfsf12,TNFSF12,Mouse
Tnfsf13,TNFSF13,Mouse
Topaz1,TOPAZ1,Mouse
Tmem212,TMEM212,Mouse
Tpgs2,TPGS2,Mouse
Tnfrsf13b,TNFRSF13B,Mouse
Tnfaip8l2,TNFAIP8L2,Mouse
Tmod4,TMOD4,Mouse
Tprkb,TPRKB,Mouse
Tnnt2,TNNT2,Mouse
Tmem213,TMEM213,Mouse
Trafd1,TRAFD1,Mouse
Tnni1,TNNI1,Mouse
Tra2b,TRA2B,Mouse
Tnfrsf25,TNFRSF25,Mouse
Tmem87b,TMEM87B,Mouse
Tpm4,TPM4,Mouse
Tmprss3,TMPRSS3,Mouse
Tnnt1,TNNT1,Mouse
Tpra1,TPRA1,Mouse
Tmem74,TMEM74,Mouse
Tmem65,TMEM65,Mouse
Tmem80,TMEM80,Mouse
Tnni3,TNNI3,Mouse
Tmprss7,TMPRSS7,Mouse
Tob1,TOB1,Mouse
Tnfaip6,TNFAIP6,Mouse
Tnfsf10,TNFSF10,Mouse
Tnpo1,TNPO1,Mouse
Tmem222,TMEM222,Mouse
Tomm20l,TOMM20L,Mouse
Trabd2b,TRABD2B,Mouse
Tmem184c,TMEM184C,Mouse
Tomm34,TOMM34,Mouse
Tmem189,TMEM189,Mouse
Tmem63c,TMEM63C,Mouse
Tnks,TNKS,Mouse
Tmem151a,TMEM151A,Mouse
Tmem243,TMEM243,Mouse
Tmem249,TMEM249,Mouse
Tmem186,TMEM186,Mouse
Tpp2,TPP2,Mouse
Tpst2,TPST2,Mouse
Tmem97,TMEM97,Mouse
Tnfrsf13c,TNFRSF13C,Mouse
Tmem218,TMEM218,Mouse
Tnfrsf18,TNFRSF18,Mouse
Tmem161b,TMEM161B,Mouse
Tnfaip1,TNFAIP1,Mouse
Tnfrsf11b,TNFRSF11B,Mouse
Tnfrsf4,TNFRSF4,Mouse
Tmem255a,TMEM255A,Mouse
Tmem176a,TMEM176A,Mouse
Tmem171,TMEM171,Mouse
Tmem38b,TMEM38B,Mouse
Tmem176b,TMEM176B,Mouse
Tmem88b,TMEM88B,Mouse
Tnni3k,TNNI3K,Mouse
Tmem174,TMEM174,Mouse
Tnfrsf8,TNFRSF8,Mouse
Tmem72,TMEM72,Mouse
Tmem151b,TMEM151B,Mouse
Tmem199,TMEM199,Mouse
Tnfsf11,TNFSF11,Mouse
Tnfrsf1b,TNFRSF1B,Mouse
Tox,TOX,Mouse
Tmem246,TMEM246,Mouse
Tmem150c,TMEM150C,Mouse
Tmem173,TMEM173,Mouse
Tmem42,TMEM42,Mouse
Tmem240,TMEM240,Mouse
Tmem229b,TMEM229B,Mouse
Tollip,TOLLIP,Mouse
Tnip1,TNIP1,Mouse
Tmprss9,TMPRSS9,Mouse
Tpcn1,TPCN1,Mouse
Tmem18,TMEM18,Mouse
Tmem200c,TMEM200C,Mouse
Tmem169,TMEM169,Mouse
Tor2a,TOR2A,Mouse
Tpm1,TPM1,Mouse
Tnn,TNN,Mouse
Tnr,TNR,Mouse
Tmem67,TMEM67,Mouse
Traf7,TRAF7,Mouse
Tmem253,TMEM253,Mouse
Tmem210,TMEM210,Mouse
Tnp1,TNP1,Mouse
Tmem47,TMEM47,Mouse
Tmem69,TMEM69,Mouse
Tpo,TPO,Mouse
Tnks1bp1,TNKS1BP1,Mouse
Tns1,TNS1,Mouse
Tmem94,TMEM94,Mouse
Tmem237,TMEM237,Mouse
Tmem50a,TMEM50A,Mouse
Tmem81,TMEM81,Mouse
Tpd52l1,TPD52L1,Mouse
Tor3a,TOR3A,Mouse
Traf3,TRAF3,Mouse
Tmem183a,TMEM183A,Mouse
Tmem205,TMEM205,Mouse
Tmx1,TMX1,Mouse
Tmem178b,TMEM178B,Mouse
Tns2,TNS2,Mouse
Tmem182,TMEM182,Mouse
Tpbg,TPBG,Mouse
Tns3,TNS3,Mouse
Tph1,TPH1,Mouse
Tnnc1,TNNC1,Mouse
Tmem184b,TMEM184B,Mouse
Tmem43,TMEM43,Mouse
Tmem17,TMEM17,Mouse
Tmem241,TMEM241,Mouse
Tmem39b,TMEM39B,Mouse
Tnfrsf12a,TNFRSF12A,Mouse
Tpte,TPTE,Mouse
Tmem38a,TMEM38A,Mouse
Tnfrsf22,TNFRSF10B,Mouse
Tnfrsf23,TNFRSF10B,Mouse
Tnfrsf26,TNFRSF10B,Mouse
Tnrc6c,TNRC6C,Mouse
Tmem74b,TMEM74B,Mouse
Tmx3,TMX3,Mouse
Tnfrsf11a,TNFRSF11A,Mouse
Tmem259,TMEM259,Mouse
Tmem51,TMEM51,Mouse
Tnks2,TNKS2,Mouse
Traf3ip1,TRAF3IP1,Mouse
Tnpo3,TNPO3,Mouse
Tomm20,TOMM20,Mouse
Tmem229a,TMEM229A,Mouse
Tmem208,TMEM208,Mouse
Tmem63a,TMEM63A,Mouse
Tmem164,TMEM164,Mouse
Top1,TOP1,Mouse
Tmpo,TMPO,Mouse
Tppp2,TPPP2,Mouse
Tmub1,TMUB1,Mouse
Tor1aip2,TOR1AIP2,Mouse
Tnfaip2,TNFAIP2,Mouse
Tor1aip1,TOR1AIP1,Mouse
Tmem233,TMEM233,Mouse
Tradd,TRADD,Mouse
Tsen15,TSEN15,Mouse
Trim63,TRIM63,Mouse
Tstd1,TSTD1,Mouse
Trmt1l,TRMT1L,Mouse
Tsacc,TSACC,Mouse
Trpv4,TRPV4,Mouse
Ttc24,TTC24,Mouse
Tspan8,TSPAN8,Mouse
Trhde,TRHDE,Mouse
Tsc22d3,TSC22D3,Mouse
Tspan12,TSPAN12,Mouse
Ttc25,TTC25,Mouse
Trib3,TRIB3,Mouse
Tspan10,TSPAN10,Mouse
Trpm1,TRPM1,Mouse
Trappc9,TRAPPC9,Mouse
Trpm2,TRPM2,Mouse
Trmt11,TRMT11,Mouse
Trpc7,TRPC7,Mouse
Tsr1,TSR1,Mouse
Tshz3,TSHZ3,Mouse
Tspear,TSPEAR,Mouse
Trim55,TRIM55,Mouse
Trim59,TRIM59,Mouse
Trim50,TRIM50,Mouse
Trim42,TRIM42,Mouse
Tshr,TSHR,Mouse
Trip10,TRIP10,Mouse
Tril,TRIL,Mouse
Trmt112,TRMT112,Mouse
Tssk2,TSSK2,Mouse
Trim30c,TRIM5,Mouse
Trim30d,TRIM5,Mouse
Trim12a,TRIM5,Mouse
Trim12c,TRIM5,Mouse
Trim5,TRIM5,Mouse
Trim30a,TRIM5,Mouse
Trim6,TRIM6,Mouse
Tssk3,TSSK3,Mouse
Trip13,TRIP13,Mouse
Trdmt1,TRDMT1,Mouse
Trnau1ap,TRNAU1AP,Mouse
Tstd2,TSTD2,Mouse
Tspan18,TSPAN18,Mouse
Tspan9,TSPAN9,Mouse
Trub2,TRUB2,Mouse
Trpc4,TRPC4,Mouse
Trappc6b,TRAPPC6B,Mouse
Trub1,TRUB1,Mouse
Tram2,TRAM2,Mouse
Ttc23l,TTC23L,Mouse
Trpc6,TRPC6,Mouse
Trim66,TRIM66,Mouse
Tcrg-V4,TRGV2,Mouse
Trim2,TRIM2,Mouse
Trmo,TRMO,Mouse
Trim38,TRIM38,Mouse
Trpc4ap,TRPC4AP,Mouse
Ttbk1,TTBK1,Mouse
Trnt1,TRNT1,Mouse
Trav9n-2,TRAV8-1,Mouse
Trav9n-4,TRAV8-1,Mouse
Trav9-1,TRAV8-1,Mouse
Trav9n-3,TRAV8-1,Mouse
Trav9d-4,TRAV8-1,Mouse
Trav9d-1,TRAV8-1,Mouse
Trav9-2,TRAV8-1,Mouse
Trav9d-2,TRAV8-1,Mouse
Trav17,TRAV8-1,Mouse
Trav9-4,TRAV8-1,Mouse
Trav9d-3,TRAV8-1,Mouse
Trav11,TRAV10,Mouse
Trav11d,TRAV10,Mouse
Trav7-5,TRAV12-1,Mouse
Trav7d-3,TRAV12-1,Mouse
Trav7-3,TRAV12-1,Mouse
C920008G01Rik,TRAV12-1,Mouse
Trav7n-6,TRAV12-1,Mouse
Trav7-2,TRAV12-1,Mouse
Trav7n-5,TRAV12-1,Mouse
